符号,中文名(拼音),原子序数,原子量,化学价,类型,族,周期,电子排布,发现年份,发现者,特性
H,氢(qīng),1,1.008,+1、-1,非金属,1,1,1s¹,1766,卡文迪许,宇宙中最丰富的元素，无色无味气体，易燃易爆
He,氦(hài),2,4.0026,0,惰性气体,18,1,1s²,1868,杨森和洛克耶,最轻的惰性气体，不可燃不助燃，用于气球和低温超导
Li,锂(lǐ),3,6.941,+1,碱金属,1,2,[He]2s¹,1817,阿尔费德森,最轻的金属，柔软，与水剧烈反应，用于电池
Be,铍(pí),4,9.0122,+2,碱土金属,2,2,[He]2s²,1797,沃克兰,坚硬但脆，剧毒，用于X射线管和航空航天材料
B,硼(péng),5,10.811,+3,类金属,13,2,[He]2s²2p¹,1808,戴维和盖吕萨克,半导体性质，硬度高，用于制造玻璃和清洁剂
C,碳(tàn),6,12.011,+2、+4、-4,非金属,14,2,[He]2s²2p²,古代,古人,生命的基础元素，多种同素异形体（金刚石、石墨）
N,氮(dàn),7,14.007,-3、+1、+2、+3、+4、+5,非金属,15,2,[He]2s²2p³,1772,卢瑟福,空气中含量最多的气体，化学性质较稳定
O,氧(yǎng),8,15.999,-2、-1、+2,非金属,16,2,[He]2s²2p⁴,1774,普里斯特利和舍勒,支持呼吸和燃烧，地壳中含量最多的元素
F,氟(fú),9,18.998,-1,卤素,17,2,[He]2s²2p⁵,1886,莫瓦桑,最活泼的非金属，强氧化性，用于制冷剂和牙膏
Ne,氖(nǎi),10,20.180,0,惰性气体,18,2,[He]2s²2p⁶,1898,拉姆塞和特拉弗斯,无色惰性气体，通电发红光，用于霓虹灯
Na,钠(nà),11,22.990,+1,碱金属,1,3,[Ne]3s¹,1807,戴维,非常活泼的金属，遇水剧烈反应，保存于煤油中
Mg,镁(měi),12,24.305,+2,碱土金属,2,3,[Ne]3s²,1755,布莱克,轻质金属，燃烧发出耀眼白光，用于合金和烟花
Al,铝(lǚ),13,26.982,+3,贫金属,13,3,[Ne]3s²3p¹,1825,厄斯泰德,地壳中含量最多的金属，轻且耐腐蚀，用途广泛
Si,硅(guī),14,28.085,+4、-4,类金属,14,3,[Ne]3s²3p²,1824,贝采里乌斯,半导体材料，地壳中第二多的元素，用于电子工业
P,磷(lín),15,30.974,-3、+3、+5,非金属,15,3,[Ne]3s²3p³,1669,布兰德,有多种同素异形体（白磷剧毒，红磷稳定），用于化肥
S,硫(liú),16,32.06,-2、+4、+6,非金属,16,3,[Ne]3s²3p⁴,古代,古人,黄色固体，有臭鸡蛋气味，用于制造硫酸和火药
Cl,氯(lǜ),17,35.45,-1、+1、+3、+5、+7,卤素,17,3,[Ne]3s²3p⁵,1774,舍勒,黄绿色有毒气体，强氧化性，用于消毒和漂白
Ar,氩(yà),18,39.948,0,惰性气体,18,3,[Ne]3s²3p⁶,1894,雷利和拉姆塞,空气中含量第三的气体，化学性质极不活泼
K,钾(jiǎ),19,39.098,+1,碱金属,1,4,[Ar]4s¹,1807,戴维,比钠更活泼的金属，与水剧烈反应，保存于煤油中
Ca,钙(gài),20,40.078,+2,碱土金属,2,4,[Ar]4s²,1808,戴维,骨骼和牙齿的主要成分，在自然界以化合物形式存在
Sc,钪(kàng),21,44.956,+3,过渡金属,3,4,[Ar]3d¹4s²,1879,尼尔森,软质银白色金属，用于高强度合金和照明
Ti,钛(tài),22,47.867,+2、+3、+4,过渡金属,4,4,[Ar]3d²4s²,1791,格雷戈尔,高强度、低密度、耐腐蚀，用于航空航天和医疗
V,钒(fán),23,50.942,+2、+3、+4、+5,过渡金属,5,4,[Ar]3d³4s²,1801,德里奥,坚硬、有延展性，用于合金钢和催化剂
Cr,铬(gè),24,51.996,+2、+3、+6,过渡金属,6,4,[Ar]3d⁵4s¹,1797,沃克兰,坚硬、耐腐蚀，用于不锈钢和电镀
Mn,锰(měng),25,54.938,+2、+3、+4、+6、+7,过渡金属,7,4,[Ar]3d⁵4s²,1774,甘恩,脆性金属，用于制造钢铁和干电池
Fe,铁(tiě),26,55.845,+2、+3,过渡金属,8,4,[Ar]3d⁶4s²,古代,古人,地壳中含量第四的元素，最重要的金属，易生锈
Co,钴(gǔ),27,58.933,+2、+3,过渡金属,9,4,[Ar]3d⁷4s²,1735,布兰特,硬质磁性金属，用于合金和锂电池
Ni,镍(niè),28,58.693,+2、+3,过渡金属,10,4,[Ar]3d⁸4s²,1751,克龙斯泰特,有延展性、磁性，用于不锈钢和硬币
Cu,铜(tóng),29,63.546,+1、+2,过渡金属,11,4,[Ar]3d¹⁰4s¹,古代,古人,优良的导电导热性，用于电线和管道
Zn,锌(xīn),30,65.38,+2,过渡金属,12,4,[Ar]3d¹⁰4s²,古代,古人,蓝白色金属，用于镀锌钢板和电池
Ga,镓(jiā),31,69.723,+3,贫金属,13,4,[Ar]3d¹⁰4s²4p¹,1875,布瓦博德朗,低熔点金属（29.76℃），用于半导体和温度计
Ge,锗(zhě),32,72.630,+2、+4、-4,类金属,14,4,[Ar]3d¹⁰4s²4p²,1886,文克勒,半导体材料，用于晶体管和红外光学
As,砷(shēn),33,74.922,-3、+3、+5,类金属,15,4,[Ar]3d¹⁰4s²4p³,古代,古人,有毒，用于农药和半导体材料
Se,硒(xī),34,78.971,-2、+4、+6,非金属,16,4,[Ar]3d¹⁰4s²4p⁴,1817,贝采里乌斯,光敏性半导体，用于复印机和光电池
Br,溴(xiù),35,79.904,-1、+1、+3、+5、+7,卤素,17,4,[Ar]3d¹⁰4s²4p⁵,1826,巴拉尔,唯一的液态非金属，深红棕色，有刺激性气味
