名称,化学式,电荷,描述
硫酸根,SO4,2-,常见含氧酸根
亚硫酸根,SO3,2-,亚硫酸根离子
硝酸根,NO3,1-,常见含氧酸根
亚硝酸根,NO2,1-,亚硝酸根离子
磷酸根,PO4,3-,磷酸根离子
亚磷酸根,PO3,3-,亚磷酸根离子
碳酸根,CO3,2-,碳酸盐的阴离子
碳酸氢根,HCO3,1-,酸式碳酸根
铵根,NH4,1+,常见阳离子
氢氧根,OH,1-,碱的共有部分
高锰酸根,MnO4,1-,紫红色强氧化剂
锰酸根,MnO4,2-,绿色锰酸根
铬酸根,CrO4,2-,黄色铬酸盐
重铬酸根,Cr2O7,2-,橙色强氧化剂
醋酸根,CH3COO,1-,有机酸根
草酸根,C2O4,2-,草酸盐
氰根,CN,1-,剧毒
硫氰酸根,SCN,1-,拟卤素
氯酸根,ClO3,1-,氯酸盐
次氯酸根,ClO,1-,漂白剂成分
高氯酸根,ClO4,1-,强氧化剂
溴酸根,BrO3,1-,溴酸盐
碘酸根,IO3,1-,碘酸盐
硼酸根,BO3,3-,硼酸盐
硅酸根,SiO3,2-,硅酸盐单体
铝酸根,AlO2,1-,偏铝酸根
锌酸根,ZnO2,2-,锌酸盐
高铁酸根,FeO4,2-,高铁酸盐
过氧根,O2,2-,过氧化物
超氧根,O2,1-,超氧化物
叠氮根,N3,1-,叠氮化物
氨基,NH2,1-,胺类衍生物
甲酸根,HCOO,1-,甲酸盐
苯酚根,C6H5O,1-,酚氧负离子
硫代硫酸根,S2O3,2-,硫代硫酸盐
连二亚硫酸根,S2O4,2-,保险粉
过硫酸根,S2O8,2-,强氧化剂
焦磷酸根,P2O7,4-,焦磷酸盐
三聚磷酸根,P3O10,5-,软水剂成分
六氰合铁(III)酸根,Fe(CN)6,3-,铁氰化物（赤血盐）
六氰合铁(II)酸根,Fe(CN)6,4-,亚铁氰化物（黄血盐）
