类型,方程式,描述
化合反应,2H₂ + O₂ → 2H₂O,氢气与氧气反应生成水
化合反应,2Mg + O₂ → 2MgO,镁条在空气中燃烧生成氧化镁
化合反应,C + O₂ → CO₂,碳在氧气中充分燃烧生成二氧化碳
化合反应,2Cu + O₂ → 2CuO,铜在空气中加热生成氧化铜
化合反应,4P + 5O₂ → 2P₂O₅,红磷在空气中燃烧生成五氧化二磷
化合反应,S + O₂ → SO₂,硫在氧气中燃烧生成二氧化硫
化合反应,2CO + O₂ → 2CO₂,一氧化碳燃烧生成二氧化碳
化合反应,2Na + Cl₂ → 2NaCl,钠与氯气反应生成氯化钠
化合反应,CaO + H₂O → Ca(OH)₂,生石灰与水反应生成熟石灰
化合反应,CO₂ + H₂O → H₂CO₃,二氧化碳与水反应生成碳酸
化合反应,SO₃ + H₂O → H₂SO₄,三氧化硫与水反应生成硫酸
化合反应,SO₂ + H₂O → H₂SO₃,二氧化硫与水反应生成亚硫酸
化合反应,Na₂O + H₂O → 2NaOH,氧化钠与水反应生成氢氧化钠
分解反应,2H₂O₂ → 2H₂O + O₂↑,过氧化氢分解生成水和氧气
分解反应,2KClO₃ → 2KCl + 3O₂↑,氯酸钾分解生成氯化钾和氧气
分解反应,2KMnO₄ → K₂MnO₄ + MnO₂ + O₂↑,高锰酸钾加热分解
分解反应,CaCO₃ → CaO + CO₂↑,碳酸钙高温分解生成氧化钙和二氧化碳
分解反应,2HgO → 2Hg + O₂↑,氧化汞加热分解生成汞和氧气
分解反应,2H₂O → 2H₂↑ + O₂↑,水电解生成氢气和氧气
分解反应,NH₄HCO₃ → NH₃↑ + H₂O + CO₂↑,碳酸氢铵分解
分解反应,H₂CO₃ → H₂O + CO₂↑,碳酸分解生成水和二氧化碳
分解反应,Cu₂(OH)₂CO₃ → 2CuO + H₂O + CO₂↑,碱式碳酸铜分解
置换反应,Zn + H₂SO₄ → ZnSO₄ + H₂↑,锌与稀硫酸反应生成硫酸锌和氢气
置换反应,Fe + 2HCl → FeCl₂ + H₂↑,铁与稀盐酸反应生成氯化亚铁和氢气
置换反应,Fe + CuSO₄ → FeSO₄ + Cu,铁与硫酸铜反应生成硫酸亚铁和铜
