类型,问题,选项A,选项B,选项C,选项D,答案,解析
元素符号,氧元素的符号是？,O,Ox,O2,Ou,A,氧的符号为 O
元素符号,碳元素的符号是？,Ca,C,Co,Cr,B,碳的符号为 C
元素符号,氢元素的符号是？,H,He,Hi,Hm,A,氢的符号为 H
元素符号,钠元素的符号是？,Na,N,Ne,Ni,A,钠的符号为 Na
元素符号,铁元素的符号是？,Fe,F,Fi,Fr,A,铁的符号为 Fe
化学式,水的化学式是？,H2O,H2O2,HO,OH,A,水由两个氢原子和一个氧原子组成
化学式,二氧化碳的化学式是？,CO,CO2,C2O,OC2,B,二氧化碳含一个碳和两个氧
化学式,硫酸的化学式是？,H2SO4,H2SO3,H2S,H2SO5,A,硫酸化学式为 H2SO4
化学式,氢氧化钠的化学式是？,NaOH,Na2O,NaCl,Na2CO3,A,氢氧化钠为 NaOH
化学式,氯化钠的化学式是？,NaCl,Na2Cl,ClNa,NaCl2,A,氯化钠为 NaCl
化学计算,水的相对分子质量约为？,16,18,20,22,B,1×2 + 16 = 18
化学计算,二氧化碳的相对分子质量约为？,28,32,44,48,C,12 + 16×2 = 44
化学计算,硫酸的相对分子质量约为？,96,98,100,102,B,1×2 + 32 + 16×4 = 98
化学计算,氢氧化钠的相对分子质量约为？,32,36,40,44,C,23 + 16 + 1 = 40
化学计算,氯化钠的相对分子质量约为？,54,56,58,60,C,23 + 35.5 = 58.5（取整58）
氧化还原,下列反应属于化合反应的是？,2H2+O2→2H2O,2KMnO4→K2MnO4+MnO2+O2,Fe+CuSO4→FeSO4+Cu,NaOH+HCl→NaCl+H2O,A,氢气与氧气反应生成水，属于化合反应
氧化还原,下列反应属于分解反应的是？,2H2+O2→2H2O,2KMnO4→K2MnO4+MnO2+O2,Fe+CuSO4→FeSO4+Cu,NaOH+HCl→NaCl+H2O,B,高锰酸钾加热分解，属于分解反应
氧化还原,下列反应属于置换反应的是？,2H2+O2→2H2O,2KMnO4→K2MnO4+MnO2+O2,Fe+CuSO4→FeSO4+Cu,NaOH+HCl→NaCl+H2O,C,铁与硫酸铜反应，置换出铜
离子检验,检验Fe3+常用的试剂是？,KSCN,AgNO3,BaCl2,NaOH,A,Fe3+遇SCN-变血红色
离子检验,检验Cl-常用的试剂是？,AgNO3,BaCl2,NaOH,KSCN,A,Ag+与Cl-生成白色沉淀
化学常识,地壳中含量最多的元素是？,氧,硅,铝,铁,A,地壳中氧含量最高
化学常识,空气中含量最多的气体是？,氧气,氮气,二氧化碳,水蒸气,B,氮气约占空气体积的78%
化学常识,常用于改良酸性土壤的物质是？,熟石灰,烧碱,食盐,纯碱,A,熟石灰（氢氧化钙）呈碱性
化学常识,下列物质属于纯净物的是？,蒸馏水,食醋,石灰石,碘酒,A,蒸馏水只含一种物质
化学方程式,氢气燃烧的化学方程式为？,2H2+O2→2H2O,H2+O2→H2O,2H2+O2→H2O2,H2+O2→H2O2,A,氢气与氧气生成水，系数需配平
